,score,content,label,cleaned_content,content_stopWord,stemmed_content
0,5,"Guah pelanggan GRAB dari pertama ada GRAB,,, dan Gua udh lama pakai apk ini, dari zaman AZINAMOTO, menurut gua dari semua banyak aplikasi penjemputan manusia, yang paling bagus ya GRAB jawabannya,,, yang bilang GRAB buruk,,, ya ELU nya aja kudet,,, kalau mau serba sempurna LU bikin apk sendiri, pake mobil sendiri, driver sendiri,,, jadi ga usah bayar dan ribet. Tolong kedepankan ATTITUDE, sebelum ngebacot, nilai dulu diri sendiri sebelum menilai orang lain.",positif,guah pelanggan grab dari pertama ada grab dan gua udh lama pakai apk ini dari zaman azinamoto menurut gua dari semua banyak aplikasi penjemputan manusia yang paling bagus ya grab jawabannya yang bilang grab buruk ya elu nya aja kudet kalau mau serba sempurna lu bikin apk sendiri pake mobil sendiri driver sendiri jadi ga usah bayar dan ribet tolong kedepankan attitude sebelum ngebacot nilai dulu diri sendiri sebelum menilai orang lain,guah pelanggan grab grab gua udh pakai apk zaman azinamoto gua aplikasi penjemputan manusia bagus ya grab jawabannya bilang grab buruk ya elu nya aja kudet serba sempurna lu bikin apk pake mobil driver ga bayar ribet tolong kedepankan attitude ngebacot nilai menilai orang,guah langgan grab grab gua udh pakai apk zaman azinamoto gua aplikasi jemput manusia bagus ya grab jawab bilang grab buruk ya elu nya aja kudet serba sempurna lu bikin apk pake mobil driver ga bayar ribet tolong depan attitude ngebacot nilai nilai orang
1,4,"Dapat dibilang saya sangat bergantung pada Grab ketika ingin pesan makanan, nitip beli obat, maupun bepergian. Oleh karena itu, fitur jumlah saldo OVO yg lgsg terlihat di Home sangat saya perlukan. Sayang sekali, fitur tersebut skrg dihilangkan dan membuat saya harus klik Akun >> Metode Pembayaran hanya utk melihat berapa sisa saldo aktif saya.",positif,dapat dibilang saya sangat bergantung pada grab ketika ingin pesan makanan nitip beli obat maupun bepergian oleh karena itu fitur jumlah saldo ovo yg lgsg terlihat di home sangat saya perlukan sayang sekali fitur tersebut skrg dihilangkan dan membuat saya harus klik akun metode pembayaran hanya utk melihat berapa sisa saldo aktif saya,dibilang bergantung grab pesan makanan nitip beli obat bepergian fitur saldo ovo yg lgsg home perlukan sayang fitur skrg dihilangkan klik akun metode pembayaran utk sisa saldo aktif,bilang gantung grab pesan makan nitip beli obat pergi fitur saldo ovo yg lgsg home perlu sayang fitur skrg hilang klik akun metode bayar utk sisa saldo aktif
2,3,"Titik suka tidak sesuai padahal sudah saya sesuaikan dengan titik biru, terkadang titik tujuan tidak sama dengan Google Map, map pada Grab tidak seakurat Google Map jadi suka salah penjemputanya/ tujuannya. Tolong untuk diperbaiki lagi🙏",negatif,titik suka tidak sesuai padahal sudah saya sesuaikan dengan titik biru terkadang titik tujuan tidak sama dengan google map map pada grab tidak seakurat google map jadi suka salah penjemputanya tujuannya tolong untuk diperbaiki lagi,titik suka sesuai sesuaikan titik biru terkadang titik tujuan google map map grab seakurat google map suka salah penjemputanya tujuannya tolong diperbaiki,titik suka sesuai sesuai titik biru terkadang titik tuju google map map grab akurat google map suka salah penjemputanya tuju tolong baik
3,5,"Aplikasinya bagus dan tampilan antarmukanya juga bagus. Tidak ada kendala sama sekali dalam menggunakan aplikasi ini. Saya sangat menyukainya pada saat memesan makanan, karena ongkirnya murah dan terdapat berbagai pilihan pengantaran dengan biaya yang berbeda dan waktu pengiriman yang berbeda juga. Drivernya juga ramah.",positif,aplikasinya bagus dan tampilan antarmukanya juga bagus tidak ada kendala sama sekali dalam menggunakan aplikasi ini saya sangat menyukainya pada saat memesan makanan karena ongkirnya murah dan terdapat berbagai pilihan pengantaran dengan biaya yang berbeda dan waktu pengiriman yang berbeda juga drivernya juga ramah,aplikasinya bagus tampilan antarmukanya bagus kendala aplikasi menyukainya memesan makanan ongkirnya murah pilihan pengantaran biaya berbeda pengiriman berbeda drivernya ramah,aplikasi bagus tampil antarmuka bagus kendala aplikasi suka mes makan ongkirnya murah pilih antar biaya beda kirim beda drivernya ramah
4,5,"Driver ojek online merupakan bagian integral dari layanan transportasi berbasis aplikasi. Mereka memberikan kemudahan dalam perjalanan sehari-hari dengan kesigapan dan kecepatan. Namun, beberapa pengguna mungkin mengalami tantangan terkait keterlambatan atau navigasi yang kurang tepat. Meski demikian, kehadiran mereka telah mengubah cara orang berpergian secara signifikan, menawarkan pilihan transportasi yang lebih fleksibel dan nyaman.",positif,driver ojek online merupakan bagian integral dari layanan transportasi berbasis aplikasi mereka memberikan kemudahan dalam perjalanan seharihari dengan kesigapan dan kecepatan namun beberapa pengguna mungkin mengalami tantangan terkait keterlambatan atau navigasi yang kurang tepat meski demikian kehadiran mereka telah mengubah cara orang berpergian secara signifikan menawarkan pilihan transportasi yang lebih fleksibel dan nyaman,driver ojek online integral layanan transportasi berbasis aplikasi kemudahan perjalanan seharihari kesigapan kecepatan pengguna mengalami tantangan terkait keterlambatan navigasi kehadiran mengubah orang berpergian signifikan menawarkan pilihan transportasi fleksibel nyaman,driver ojek online integral layan transportasi bas aplikasi mudah jalan seharihari sigap cepat guna alami tantang kait lambat navigasi hadir ubah orang pergi signifikan tawar pilih transportasi fleksibel nyaman
5,3,Tolong perbaiki pembayaran Qris. Sering eror. Dan tambahin fitur tambah galeri buat yg mau bayar Qris lewat galeri. (Poto yang dikirim) Jadi ga harus pake 2 hp buat bayarnya.,negatif,tolong perbaiki pembayaran qris sering eror dan tambahin fitur tambah galeri buat yg mau bayar qris lewat galeri poto yang dikirim jadi ga harus pake hp buat bayarnya,tolong perbaiki pembayaran qris eror tambahin fitur galeri yg bayar qris galeri poto dikirim ga pake hp bayarnya,tolong baik bayar qris eror tambahin fitur galeri yg bayar qris galeri poto kirim ga pake hp bayar
6,1,"Tolong maps-nya di update, biar titiknya makin lengkap dan sesuai, kalau nggak sesuai drivernya marah-marah. Tapi di aplikasinya maps-nya nggak lengkap, beda sama Google maps tampilannya",negatif,tolong mapsnya di update biar titiknya makin lengkap dan sesuai kalau nggak sesuai drivernya marahmarah tapi di aplikasinya mapsnya nggak lengkap beda sama google maps tampilannya,tolong mapsnya update biar titiknya lengkap sesuai nggak sesuai drivernya marahmarah aplikasinya mapsnya nggak lengkap beda google maps tampilannya,tolong mapsnya update biar titik lengkap sesuai nggak sesuai drivernya marahmarah aplikasi mapsnya nggak lengkap beda google maps tampil
7,1,"Aplikasi terburuk menurut saya, buat ambil promo bertele-tele, saya dapat promo tp ga bisa digunakan sudah menghubungi CS tp hanya dijawab di bantu menyelesaikan lewat email ditunggu berhari-hari tp ga ada email masuk, giliran ditegur penyelesaian lama ga bisa pakai promo malah mengada-ada alasan bilang pake akun 2 Karna satu alamat pengiriman, pdhl emg masih keluarga, kalau begitu satu keluarga hanya boleh punya grab 1 aja apa gmn nih... Bilang aja ga mau rugi ngasih promo",negatif,aplikasi terburuk menurut saya buat ambil promo berteletele saya dapat promo tp ga bisa digunakan sudah menghubungi cs tp hanya dijawab di bantu menyelesaikan lewat email ditunggu berharihari tp ga ada email masuk giliran ditegur penyelesaian lama ga bisa pakai promo malah mengadaada alasan bilang pake akun karna satu alamat pengiriman pdhl emg masih keluarga kalau begitu satu keluarga hanya boleh punya grab aja apa gmn nih bilang aja ga mau rugi ngasih promo,aplikasi terburuk ambil promo berteletele promo tp ga menghubungi cs tp bantu menyelesaikan email ditunggu berharihari tp ga email masuk giliran ditegur penyelesaian ga pakai promo mengadaada alasan bilang pake akun karna alamat pengiriman pdhl emg keluarga keluarga grab aja gmn nih bilang aja ga rugi ngasih promo,aplikasi buruk ambil promo berteletele promo tp ga hubung cs tp bantu selesai email tunggu berharihari tp ga email masuk gilir tegur selesai ga pakai promo mengadaada alas bilang pake akun karna alamat kirim pdhl emg keluarga keluarga grab aja gmn nih bilang aja ga rugi ngasih promo
8,3,"Tolong perbaiki grabfoodnya apalagi yang ingin memesan di tengah malem, orang mau makan jadi kesel, drivernya udah 2x ganti, udah masuk dapur sedang dibuat, udah nunggu 30mnit, tibatiba dibatalkan dengan keterangan tokonya sudah tutup, kalo emang udah tutup tolong di off-in aplikasinya",negatif,tolong perbaiki grabfoodnya apalagi yang ingin memesan di tengah malem orang mau makan jadi kesel drivernya udah x ganti udah masuk dapur sedang dibuat udah nunggu mnit tibatiba dibatalkan dengan keterangan tokonya sudah tutup kalo emang udah tutup tolong di offin aplikasinya,tolong perbaiki grabfoodnya memesan malem orang makan kesel drivernya udah x ganti udah masuk dapur udah nunggu mnit tibatiba dibatalkan keterangan tokonya tutup kalo emang udah tutup tolong offin aplikasinya,tolong baik grabfoodnya mes malem orang makan kesel drivernya udah x ganti udah masuk dapur udah nunggu mnit tibatiba batal terang toko tutup kalo emang udah tutup tolong offin aplikasi
9,1,Maps nya yg bener aja dong Maps nya gak update apa gimana? Masak driver pick up/anter grabfood dll muter2 jadinya? Gimana nih? Pesen makan aja sejam gegara driver susah liat maps nya grab. Payah Mana kompensasinya?,negatif,maps nya yg bener aja dong maps nya gak update apa gimana masak driver pick upanter grabfood dll muter jadinya gimana nih pesen makan aja sejam gegara driver susah liat maps nya grab payah mana kompensasinya,maps nya yg bener aja maps nya gak update gimana masak driver pick upanter grabfood dll muter gimana nih pesen makan aja sejam gegara driver susah liat maps nya grab payah kompensasinya,maps nya yg bener aja maps nya gak update gimana masak driver pick upanter grabfood dll muter gimana nih sen makan aja jam gegara driver susah liat maps nya grab payah kompensasi
